reminder_id,user_id,reminder_date,reminder_type,opened,clicked,journaled_after
1,1,2026-06-30,Evening,True,True,True
2,1,2026-12-20,Morning,False,False,False
3,1,2026-05-01,Evening,False,False,False
4,1,2026-12-31,Morning,True,False,False
5,1,2026-10-01,Evening,False,False,False
6,1,2026-08-19,Evening,True,False,False
7,1,2026-04-19,Evening,True,True,True
8,1,2027-01-08,Evening,False,False,False
9,1,2026-06-26,Evening,False,False,False
10,1,2026-08-08,Evening,False,False,False
11,1,2026-07-22,Evening,True,True,False
12,1,2026-03-22,Evening,True,False,False
13,1,2026-08-14,Evening,True,False,False
14,2,2025-10-27,Morning,False,False,False
15,2,2025-12-02,Streak,True,False,False
16,2,2025-11-01,Motivation,True,True,False
17,2,2025-09-29,Streak,True,False,False
18,2,2025-11-03,Streak,False,False,False
19,2,2026-04-06,Morning,False,False,False
20,2,2026-03-17,Morning,True,True,False
21,2,2025-12-21,Morning,True,True,True
22,2,2026-06-18,Evening,False,False,False
23,2,2026-07-29,Morning,True,False,False
24,2,2025-08-21,Evening,True,False,False
25,3,2026-10-05,Morning,True,False,False
26,3,2026-05-21,Morning,True,True,False
27,3,2026-11-04,Streak,True,True,True
28,3,2025-12-17,Morning,True,False,False
29,3,2026-06-21,Evening,False,False,False
30,3,2025-12-17,Evening,True,False,False
31,3,2026-10-08,Motivation,True,True,True
32,3,2025-12-29,Motivation,False,False,False
33,3,2026-07-02,Evening,False,False,False
34,3,2026-08-19,Morning,True,False,False
35,3,2026-09-06,Evening,True,True,True
36,3,2026-08-09,Evening,True,False,False
37,4,2026-06-23,Morning,True,True,True
38,4,2026-04-06,Evening,True,True,False
39,4,2026-03-16,Evening,True,False,False
40,4,2025-12-04,Evening,False,False,False
41,4,2025-12-30,Motivation,True,False,False
42,4,2026-09-14,Streak,True,False,False
43,4,2026-01-23,Morning,True,False,False
44,4,2026-01-09,Evening,False,False,False
45,4,2026-07-31,Morning,True,False,False
46,4,2026-10-04,Morning,True,True,False
47,4,2026-07-26,Motivation,False,False,False
48,4,2026-07-03,Morning,False,False,False
49,4,2026-07-19,Streak,True,False,False
50,4,2026-01-09,Morning,True,True,True
51,5,2026-09-01,Morning,True,True,False
52,5,2026-12-12,Morning,False,False,False
53,5,2026-12-14,Motivation,True,True,True
54,5,2026-10-30,Streak,True,False,False
55,5,2026-06-23,Evening,False,False,False
56,5,2026-09-13,Evening,True,True,False
57,5,2026-06-22,Streak,True,True,True
58,5,2026-10-26,Evening,True,True,True
59,5,2026-08-30,Evening,True,False,False
60,6,2026-04-24,Morning,False,False,False
61,6,2026-10-02,Morning,True,True,True
62,6,2027-03-04,Evening,False,False,False
63,6,2026-12-05,Evening,False,False,False
64,6,2026-10-16,Evening,False,False,False
65,6,2026-05-19,Morning,False,False,False
66,6,2026-07-02,Streak,True,False,False
67,6,2026-07-10,Motivation,False,False,False
68,6,2026-12-08,Evening,False,False,False
69,6,2026-04-17,Evening,True,False,False
70,6,2027-01-08,Morning,True,True,False
71,6,2026-10-05,Morning,True,True,True
72,6,2026-06-13,Morning,False,False,False
73,6,2026-04-16,Evening,False,False,False
74,6,2027-01-18,Streak,False,False,False
75,6,2026-08-07,Morning,True,False,False
76,6,2026-11-20,Morning,False,False,False
77,6,2027-03-15,Morning,False,False,False
78,7,2027-01-01,Morning,False,False,False
79,7,2026-06-23,Morning,False,False,False
80,7,2026-07-10,Streak,True,False,False
81,7,2026-08-01,Morning,True,True,False
82,7,2027-04-29,Motivation,True,True,True
83,7,2026-08-13,Evening,True,False,False
84,7,2026-10-30,Streak,False,False,False
85,7,2027-06-13,Evening,False,False,False
86,7,2026-10-15,Morning,False,False,False
87,7,2026-09-27,Streak,False,False,False
88,7,2027-03-13,Evening,True,True,False
89,7,2026-08-11,Evening,True,True,True
90,7,2026-06-30,Morning,False,False,False
91,7,2027-03-19,Morning,True,True,False
92,7,2026-10-06,Morning,True,True,True
93,7,2027-05-13,Morning,True,True,True
94,7,2026-06-29,Morning,True,True,True
95,7,2026-07-28,Morning,True,True,True
96,7,2027-06-06,Morning,False,False,False
97,8,2026-02-21,Streak,True,False,False
98,8,2026-05-16,Evening,True,False,False
99,8,2026-08-21,Morning,True,False,False
100,8,2025-12-23,Morning,True,False,False
101,8,2026-02-13,Morning,True,False,False
102,8,2026-07-25,Evening,True,False,False
103,8,2025-10-04,Morning,True,False,False
104,8,2026-05-07,Morning,True,False,False
105,8,2025-12-24,Evening,False,False,False
106,8,2026-03-30,Evening,True,True,False
107,8,2025-12-10,Morning,True,False,False
108,8,2026-01-10,Evening,False,False,False
109,8,2025-09-26,Evening,True,False,False
110,8,2026-03-09,Evening,True,True,False
111,8,2026-08-15,Morning,True,True,True
112,8,2025-09-13,Streak,True,True,True
113,8,2025-11-16,Evening,False,False,False
114,8,2025-10-30,Morning,True,True,True
115,9,2026-10-17,Evening,True,True,False
116,9,2026-11-23,Morning,True,False,False
117,9,2026-10-15,Evening,False,False,False
118,9,2026-07-09,Streak,False,False,False
119,9,2026-08-12,Streak,True,False,False
120,9,2026-12-01,Morning,True,False,False
121,9,2026-12-04,Morning,True,False,False
122,9,2026-03-14,Morning,True,False,False
123,9,2026-09-30,Morning,True,False,False
124,9,2026-05-02,Morning,False,False,False
125,9,2026-10-08,Streak,True,True,True
126,9,2026-03-29,Morning,False,False,False
127,9,2026-03-04,Evening,False,False,False
128,10,2025-09-17,Streak,False,False,False
129,10,2025-11-13,Motivation,False,False,False
130,10,2026-07-29,Morning,True,False,False
131,10,2026-01-08,Streak,True,True,True
132,10,2026-02-03,Evening,False,False,False
133,10,2025-10-20,Streak,True,False,False
134,10,2026-01-07,Morning,True,True,True
135,10,2026-02-17,Morning,True,False,False
136,10,2026-05-10,Evening,False,False,False
137,10,2026-02-15,Evening,True,True,True
138,10,2026-06-21,Evening,False,False,False
139,10,2026-07-30,Morning,True,False,False
140,11,2025-11-23,Morning,True,False,False
141,11,2026-05-31,Morning,False,False,False
142,11,2026-07-20,Streak,False,False,False
143,11,2026-06-15,Streak,True,False,False
144,11,2026-08-11,Morning,True,True,True
145,11,2026-05-11,Motivation,True,False,False
146,11,2026-04-19,Motivation,True,False,False
147,11,2026-03-21,Morning,True,True,False
148,11,2026-09-07,Morning,False,False,False
149,11,2026-05-12,Morning,True,True,True
150,11,2026-06-13,Streak,False,False,False
151,12,2027-01-17,Streak,True,False,False
152,12,2026-04-14,Motivation,True,False,False
153,12,2026-10-16,Morning,True,False,False
154,12,2026-09-22,Motivation,True,True,True
155,12,2026-09-01,Streak,False,False,False
156,12,2026-11-08,Evening,False,False,False
157,12,2026-02-23,Evening,True,True,True
158,12,2026-05-26,Motivation,True,False,False
159,12,2026-04-11,Morning,False,False,False
160,12,2026-05-17,Morning,True,True,False
161,12,2026-08-08,Morning,True,False,False
162,12,2026-12-26,Morning,True,False,False
163,12,2026-12-17,Evening,False,False,False
164,12,2026-02-11,Morning,True,False,False
165,12,2027-01-26,Evening,False,False,False
166,13,2025-12-19,Streak,False,False,False
167,13,2026-06-26,Evening,False,False,False
168,13,2026-01-31,Morning,True,True,True
169,13,2026-05-10,Evening,False,False,False
170,13,2026-07-02,Morning,False,False,False
171,13,2025-10-03,Evening,False,False,False
172,13,2026-07-11,Streak,True,True,True
173,13,2026-04-03,Evening,False,False,False
174,13,2026-07-21,Evening,False,False,False
175,13,2026-01-07,Morning,True,True,True
176,14,2025-10-10,Evening,True,False,False
177,14,2026-06-02,Motivation,False,False,False
178,14,2025-11-09,Morning,True,True,False
179,14,2026-01-01,Streak,False,False,False
180,14,2025-11-10,Morning,True,True,True
181,14,2026-09-14,Streak,False,False,False
182,14,2025-12-26,Evening,True,True,True
183,14,2025-11-17,Morning,True,False,False
184,14,2025-11-18,Morning,False,False,False
185,14,2025-10-31,Morning,True,True,True
186,14,2026-07-30,Morning,False,False,False
187,14,2026-03-03,Evening,True,True,False
188,14,2026-08-13,Evening,True,False,False
189,14,2026-07-01,Evening,True,False,False
190,14,2026-04-03,Morning,True,True,False
191,14,2026-05-23,Motivation,True,False,False
192,15,2027-03-05,Morning,True,True,True
193,15,2026-05-27,Streak,False,False,False
194,15,2026-05-21,Evening,True,False,False
195,15,2027-02-26,Motivation,False,False,False
196,15,2026-12-03,Streak,True,False,False
197,15,2026-03-30,Motivation,True,False,False
198,15,2026-12-16,Evening,True,True,False
199,15,2026-07-24,Evening,True,False,False
200,15,2027-02-22,Streak,True,True,True
201,15,2027-01-09,Streak,False,False,False
202,15,2027-01-28,Morning,True,False,False
203,15,2026-03-31,Morning,False,False,False
204,15,2026-12-23,Evening,True,False,False
205,16,2026-05-13,Morning,True,False,False
206,16,2026-12-05,Evening,True,True,False
207,16,2026-05-07,Evening,False,False,False
208,16,2026-05-19,Evening,True,False,False
209,16,2026-07-20,Morning,False,False,False
